2,15,15,15,29,29,29,29,29,4,4,4,4,1,1,1,1,1,1,1,17,20,16,17,14,14,14,14,5,5,2,2
2,2,2,2,27,10,10,31,29,29,11,11,24,24,24,24,16,16,16,20,12,13,13,17,17,18,25,25,25,2,2,2
3,5,5,8,27,10,10,10,10,22,22,22,22,31,12,12,12,12,32,1,17,20,26,26,6,13,3,3,3,3,3,3
21,21,15,29,15,15,15,31,4,4,4,4,4,4,4,11,11,16,1,30,32,32,30,32,30,30,13,13,6,5,5,21
5,5,5,15,15,10,19,15,23,29,22,22,24,22,11,22,11,26,26,26,26,30,30,30,14,25,14,14,5,5,5,5
3,2,2,2,28,28,28,28,31,31,4,10,22,1,1,1,20,20,20,16,20,20,6,6,6,6,6,6,6,18,3,3
21,15,8,8,8,10,23,10,10,31,31,7,7,7,7,7,7,7,32,30,32,32,6,18,18,25,18,18,18,18,21,21
8,8,8,8,8,8,19,19,19,4,4,7,7,7,7,20,20,20,1,30,30,30,30,30,17,25,17,25,25,25,25,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,23,23,28,10,10,10,10,10,10,10,31,31,22,22,7,24,24,1,17,17,17,18,18,18,18,3,18,2,27,3
3,21,23,23,23,10,29,10,19,28,11,11,11,11,11,11,11,24,26,1,30,17,32,17,32,17,17,21,21,21,25,8
21,15,15,15,23,23,23,23,23,22,22,19,19,24,12,12,12,12,12,12,12,16,32,32,32,25,25,25,25,25,25,25
27,27,27,27,15,15,23,10,19,19,19,19,19,11,1,1,16,16,16,16,16,13,13,13,13,13,13,13,14,14,14,2
5,2,2,8,8,8,19,19,29,29,19,19,7,24,24,24,24,26,24,26,20,20,16,18,14,14,14,14,14,14,14,25
3,15,15,15,15,15,15,15,29,22,28,11,22,22,11,11,11,7,32,32,17,30,6,6,6,25,25,25,25,2,2,3
27,27,27,27,27,15,15,31,31,31,31,31,31,22,22,22,16,16,16,16,16,16,16,13,13,18,18,3,25,3,3,27
5,27,27,27,29,29,10,10,10,10,10,10,7,4,7,7,16,16,16,16,17,17,17,17,17,17,17,6,5,2,5,5
3,2,8,2,8,8,29,15,23,22,10,4,24,1,12,12,12,12,12,32,26,26,26,18,18,18,18,18,18,18,27,3
8,21,15,27,27,8,19,19,19,19,19,19,19,4,4,20,20,16,32,32,32,32,32,32,30,30,3,21,5,18,3,8
8,5,5,15,28,28,28,28,28,28,10,7,11,11,11,20,20,20,20,20,20,20,16,18,14,14,14,14,21,21,21,5
21,21,23,2,28,10,28,19,10,10,10,10,11,1,12,12,12,1,26,26,26,26,17,30,6,6,14,21,21,21,21,21
3,8,8,29,28,28,19,28,4,22,22,22,22,22,22,22,20,20,20,20,20,13,13,26,13,13,17,3,3,3,25,25
27,27,23,23,23,23,23,23,23,22,28,10,24,7,1,20,1,20,20,20,26,26,26,26,17,17,17,21,18,18,27,27
27,27,5,8,8,8,10,31,28,28,28,4,24,24,24,24,24,24,24,12,12,13,13,13,13,13,13,6,6,5,27,27
5,5,27,29,29,10,29,29,29,29,22,22,31,24,24,24,24,12,24,12,16,16,17,32,32,25,25,25,25,25,25,25
27,5,27,27,27,10,10,19,4,19,11,11,19,11,11,11,16,26,26,26,26,26,26,26,32,14,13,13,21,14,14,27
27,27,27,27,27,23,28,23,4,29,11,11,11,1,1,1,1,1,1,30,30,30,26,26,14,14,14,14,14,14,27,27
3,8,8,29,28,28,28,28,28,28,28,31,11,11,12,11,11,24,24,12,20,17,13,17,13,13,13,13,21,25,21,25
21,21,15,29,29,29,29,29,29,29,19,19,19,1,12,1,7,26,26,26,12,13,6,18,18,18,18,18,21,21,21,21
5,21,2,29,28,28,23,23,23,31,31,31,31,1,1,22,24,24,24,30,30,30,30,30,30,30,17,6,25,25,25,25
21,5,23,23,23,23,10,31,31,31,31,31,31,31,24,24,24,24,26,32,32,26,32,32,32,30,6,21,18,18,21,21
8,8,23,23,8,8,28,28,28,10,28,10,4,1,1,1,1,12,32,32,32,32,32,32,32,14,25,25,3,3,5,8
